x1,x2,x3,x4,x5,x6,x7,x8
5.7,114037.0,16.217,3.9250669045495234,3.2,2181.2515,2181.656528485137,4.2
5.4,114650.0,17.875,3.9041703637976877,3.3,,,
5.6,114292.0,17.438,3.89036251105217,3.3,,,
5.4,114927.0,16.53,3.96475770925111,3.7,2209.91025,2195.7004374287603,4.57
5.4,115060.0,15.498,4.130052724077338,4.6,,,
5.6,115282.0,15.524,4.020979020979021,4.4,,,
5.4,115356.0,14.467,4.17391304347825,3.9,2222.85875,2224.3008010077965,4.98
5.4,115638.0,13.798,4.249783174327848,3.9,,,
5.3,116100.0,13.977,4.246100519930662,3.7,,,
5.3,116104.0,16.266,4.419410745233954,3.9,2252.47825,2236.8567425783,4.9
5.4,116708.0,17.983,4.667242869490051,3.5,,,
5.2,116776.0,17.826,4.827586206896539,4.1,,,
5.0,117022.0,19.445,4.978540772532192,3.7,2275.377,2261.5995525683265,4.85
5.2,117097.0,21.04,5.123825789923142,4.3,,,
5.2,117099.0,20.032,5.361702127659562,4.6,,,
5.3,117418.0,20.005,5.1694915254237195,3.8,2292.74425,2284.050781075507,4.91
5.2,117472.0,19.644,4.978902953586495,4.1,,,
5.2,117655.0,18.522,4.705882352941182,3.5,,,
5.3,117354.0,19.594,4.340567612687818,3.4,2309.73075,2304.8150558826133,4.65
5.3,117581.0,20.091,4.492512479201327,3.6,,,
5.4,117912.0,19.82,4.655029093931851,3.5,,,
5.4,117830.0,21.088,4.647302904564321,3.5,2314.282,2321.3074248325693,4.23
5.4,119081.0,22.641,5.202312138728327,4.1,,,
5.3,119059.0,22.108,5.263157894736836,4.1,,,
5.2,119203.0,20.418,5.233033524121011,3.7,2339.57225,2327.646446792642,4.35
5.4,118852.0,18.582,4.711616571892785,3.6,,,
5.4,119151.0,18.237,4.3618739903069415,3.4,,,
5.2,118983.0,16.871,4.673650282030639,3.8,2348.06275,2354.149668260939,4.2
5.5,118810.0,18.638,4.8231511254019255,3.4,,,
5.7,118802.0,27.174,5.617977528089879,4.6,,,
5.9,118524.0,33.687,6.159999999999988,4.7,2349.62475,2355.0885028169105,4.45
5.9,118536.0,35.922,6.289808917197459,4.8,,,
6.2,118306.0,32.3,6.27482128673551,4.7,,,
6.3,118241.0,27.337,6.10626486915149,4.7,2328.23425,2354.018510897063,4.51
6.4,117940.0,24.959,5.651491365777073,3.9,,,
6.6,117755.0,20.523,5.312500000000009,3.4,,,
6.8,117652.0,19.86,4.895104895104896,3.3,2317.34175,2339.850505856635,3.66
6.7,118109.0,20.823,4.8875096974398735,3.2,,,
6.9,117440.0,21.24,4.953560371517041,3.1,,,
6.9,117639.0,20.195,4.695919938414161,3.3,2335.4105,2333.0109761714552,3.84
6.8,117568.0,21.42,4.447852760736182,3.1,,,
6.9,117484.0,21.688,3.7993920972644313,3.2,,,
6.9,117928.0,21.857,3.3911077618688834,3.0,2347.21125,2351.8455251104538,3.77
7.0,117800.0,23.228,2.921348314606753,3.2,,,
7.0,117770.0,22.465,2.9895366218236186,2.9,,,
